"프로젝트 이름","somsscreative"
"날짜 범위","05/15/2026 오전 12:00 - 05/19/2026 오후 11:59"


"방문한 URL regex와 일치","^https://www\.somsscreative\.com/intern-landing(\?.*)?$"

"페이지 보기","161"


"메트릭","Attention"

"스크롤 깊이","평균 소요 시간","세션 길이 비율(%)"
"5","00:00:20","5.06%"
"10","00:00:14","3.59%"
"15","00:00:09","2.37%"
"20","00:00:09","2.42%"
"25","00:00:53","13.05%"
"30","00:01:08","16.72%"
"35","00:00:15","3.84%"
"40","00:00:22","5.58%"
"45","00:00:52","12.96%"
"50","00:01:23","20.47%"
"55","00:00:23","5.73%"
"60","00:00:28","6.93%"
"65","00:00:05","1.28%"
"70","00:00:00","0%"
"75","00:00:00","0%"
"80","00:00:00","0%"
"85","00:00:00","0%"
"90","00:00:00","0%"
"95","00:00:00","0%"
"100","00:00:00","0%"
